"Title"
"Mill near the Grand Chartreuse"
"Le grand lever"
"The Grand Dauphin"
"The Grand Piazza"
"A Regatta on the Grand Canal"
"Storm in the Grand Canyon"
"Ferdinando II, Grand Duke of Tuscany"
"The Tetons and the Snake River, Grand Teton National Park, Wyoming"
"Grand Garde (Souvenir du siège de Paris)"
"Mamman, Grand-Mamman dit que tu dois n'apprendre tout ce qu'elle t'a appris ... (plate 31)"
"A Grand Illusionistic Ceiling"
"Cosimo I de' Medici, 1519-1574, 2nd Duke of Florence 1537, later Grand Duke of Tuscany 1569 [reverse]"
"A Rustic House in the Grand Rue at Sceaux-Les-Chartreux"
"On the Grand Banks"
"Grand Canal (Le grand canal)"
"Ferdinando II de' Medici, Grand Duke of Tuscany"
"Valley Curtain, Grand Hogback, Rifle, Colorado, 1970-1972"
"Veüe et perspective de la basse-court, et avant-court, et d'une partie du grand Canal du Chasteau de Tanlay"
"Large Basin of Ostend Harbor (Le Grand Bassin, Ostende)"
"Concert Grand"
"Grand Entry"
"The Grand Piazza"
"Farm with Large Tree (La ferme au grand arbre)"
"Face du grand Corps de logis du Chasteau de Richelieu qui regarde sur le Parterre"
"The Grand Trianon, Versailles  (Versailles, le Grand Trianon vu du canal)"
"Un peu d'ale fait grand bien"
"Veue du Chasteau de Liencourt, du costé du grand parterre"
"Jean Parisot de la Vallette, 1494-1568, Grand Master of Malta 1557-1568 [obverse]"
"Grand Finale"
"Cosimo I de' Medici, 1519-1574, 2nd Duke of Florence 1537, later Grand Duke of Tuscany 1569 [obverse]"
"Greeting Grandmother (Le Bonjour à la Grand-mère)"
"Jeudi, vous diniez chez Vachette, avec un grand M'sieu ... (plate 30)"
"Statue of the Danube River in the Grand Fountain of the Piazza Navona [plate XCVIII]"
"Grand Châtaignier au Bord d'un Chemin (Large Chestnut Tree on the Side of a Road)"
"Regatta on the Grand Canal"
"Francois de Medici Grand Duc de Toscone"
"Architecture de Palladio Divisée en Quatre Livres: dans lesquels, Après un Traité des cinq Ordres, joint aux observations les plus nécessaires pour bien bâtir, il est parlé De la construction des Maisons publiques & particuliéres, des Grand-Chemins, des Ponts, des Place-Publiques, des Xystes, & des Temples; avec leurs Plans, Profils, Coupes & Elévations avec des Notes d'Inigo Jones, qui n'avoient point encore été imprimées. Le tout revu, dessiné & nouvellement mis au jour par Jaques Leoni, Venitien,...Traduit de l'Italien. Tome Second, Contenant les Livres III & IV"
"View in the ""Grand Detour,"" Upper Missouri"
"The Grand-Papa"
"Grand papa sa fiché de petite maman,..."
"Grand Canal with the Rialto Bridge, Venice"
"Grand Papa four"
"Greeting Grandmother (Le Bonjour à la Grand-mère)"
"Grand Escalier du Chateau de Versailles dit Escalier des Ambassadeurs Ordonne et Peint par Charles le Brun"
"Statue of of the Nile River in the Grand Fountain of the Piazza Navona [plate XCVII]"
"Route from La Houssoye, Crevecoeur-le-Grand (Route de La Houssoye, Crevecoeur)"
"Impressions de voyage d'un grand poete"
"The Grand Canal"
"Grand bal a petit orchestre...  (recto); Une société en nom collectif (verso)"
